news_headline,news_article,news_category,compound
"['[', ""'"", 'truecaller', ""'"", ',', ""'"", 'launches', ""'"", ',', ""'"", 'covid', ""'"", ',', ""'"", 'hospital', ""'"", ',', ""'"", 'directory', ""'"", ',', ""'"", 'for', ""'"", ',', ""'"", 'users', ""'"", ',', ""'"", 'in', ""'"", ',', ""'"", 'india', ""'"", ']']",truecaller launches 'covid hospital directory' for users in india,technology,0.0
"['[', ""'"", 'cryptobased', ""'"", ',', ""'"", 'covid19', ""'"", ',', ""'"", 'fund', ""'"", ',', ""'"", 'for', ""'"", ',', ""'"", 'india', ""'"", ',', ""'"", 'raises', ""'"", ',', ""'"", '16', ""'"", ',', ""'"", 'cr', ""'"", ',', ""'"", 'in', ""'"", ',', ""'"", 'donations', ""'"", ']']",crypto-based covid-19 fund for india raises ₹16 cr in donations,technology,0.0
"['[', ""'"", 'bitcoin', ""'"", ',', ""'"", 'jumps', ""'"", ',', ""'"", 'after', ""'"", ',', ""'"", 'tesla', ""'"", ',', ""'"", 'says', ""'"", ',', ""'"", 'it', ""'"", ',', ""'"", 'believes', ""'"", ',', ""'"", 'in', ""'"", ',', ""'"", 'its', ""'"", ',', ""'"", 'longterm', ""'"", ',', ""'"", 'value', ""'"", ']']",bitcoin jumps after tesla says it believes in its long-term value,technology,0.34
"['[', ""'"", 'mastercard', ""'"", ',', ""'"", 'to', ""'"", ',', ""'"", 'launch', ""'"", ',', ""'"", 'credit', ""'"", ',', ""'"", 'card', ""'"", ',', ""'"", 'that', ""'"", ',', ""'"", 'gives', ""'"", ',', ""'"", 'digital', ""'"", ',', ""'"", 'currency', ""'"", ',', ""'"", 'rewards', ""'"", ']']",mastercard to launch credit card that gives digital currency 'rewards',technology,0.6908
"['[', ""'"", 'ellen', ""'"", ',', ""'"", 'degeneres', ""'"", ',', ""'"", 'sells', ""'"", ',', ""'"", 'her', ""'"", ',', ""'"", 'first', ""'"", ',', ""'"", 'exclusive', ""'"", ',', ""'"", 'nft', ""'"", ',', ""'"", 'for', ""'"", ',', ""'"", '14555', ""'"", ']']","ellen degeneres sells her first exclusive nft for $14,555",technology,0.128
"['[', ""'"", 'spacex', ""'"", ',', ""'"", 'gets', ""'"", ',', ""'"", 'permit', ""'"", ',', ""'"", 'to', ""'"", ',', ""'"", 'fly', ""'"", ',', ""'"", 'more', ""'"", ',', ""'"", 'satellites', ""'"", ',', ""'"", 'lower', ""'"", ',', ""'"", 'than', ""'"", ',', ""'"", 'planned', ""'"", ',', ""'"", 'reports', ""'"", ']']",spacex gets permit to fly more satellites lower than planned: reports,technology,-0.3566
"['[', ""'"", 'dogecoin', ""'"", ',', ""'"", 'surges', ""'"", ',', ""'"", '30', ""'"", ',', ""'"", 'after', ""'"", ',', ""'"", 'elon', ""'"", ',', ""'"", 'musk', ""'"", ',', ""'"", 'tweets', ""'"", ',', ""'"", 'about', ""'"", ',', ""'"", 'it', ""'"", ']']",dogecoin surges 30% after elon musk tweets about it,technology,0.0
"['[', ""'"", 'microsoft', ""'"", ',', ""'"", 'reports', ""'"", ',', ""'"", '417', ""'"", ',', ""'"", 'bn', ""'"", ',', ""'"", 'revenue', ""'"", ',', ""'"", 'in', ""'"", ',', ""'"", 'q3', ""'"", ',', ""'"", 'net', ""'"", ',', ""'"", 'income', ""'"", ',', ""'"", 'rises', ""'"", ',', ""'"", '44', ""'"", ']']","microsoft reports $41.7 bn revenue in q3, net income rises 44%",technology,0.0
"['[', ""'"", 'dogecoin', ""'"", ',', ""'"", 'better', ""'"", ',', ""'"", 'investment', ""'"", ',', ""'"", 'than', ""'"", ',', ""'"", 'a', ""'"", ',', ""'"", 'lottery', ""'"", ',', ""'"", 'ticket', ""'"", ',', ""'"", 'mark', ""'"", ',', ""'"", 'cuban', ""'"", ']']",dogecoin better investment than a lottery ticket: mark cuban,technology,0.4404
"['[', ""'"", 'fm', ""'"", ',', ""'"", 'sitharaman', ""'"", ',', ""'"", 'inaugurates', ""'"", ',', ""'"", 'indias', ""'"", ',', ""'"", '1st', ""'"", ',', ""'"", '3d', ""'"", ',', ""'"", 'printed', ""'"", ',', ""'"", 'house', ""'"", ',', ""'"", 'at', ""'"", ',', ""'"", 'iit', ""'"", ',', ""'"", 'madras', ""'"", ']']",fm sitharaman inaugurates india's 1st 3d printed house at iit madras,technology,0.0
"['[', ""'"", 'medical', ""'"", ',', ""'"", 'care', ""'"", ',', ""'"", 'severely', ""'"", ',', ""'"", 'limited', ""'"", ',', ""'"", 'us', ""'"", ',', ""'"", 'asks', ""'"", ',', ""'"", 'citizens', ""'"", ',', ""'"", 'wishing', ""'"", ',', ""'"", 'to', ""'"", ',', ""'"", 'depart', ""'"", ',', ""'"", 'to', ""'"", ',', ""'"", 'leave', ""'"", ',', ""'"", 'india', ""'"", ',', ""'"", 'now', ""'"", ']']",medical care severely limited: us asks citizens wishing to depart to leave india now,world,0.0
"['[', ""'"", 'pm', ""'"", ',', ""'"", 'modi', ""'"", ',', ""'"", 'speaks', ""'"", ',', ""'"", 'to', ""'"", ',', ""'"", 'russian', ""'"", ',', ""'"", 'prez', ""'"", ',', ""'"", 'putin', ""'"", ',', ""'"", 'thanks', ""'"", ',', ""'"", 'him', ""'"", ',', ""'"", 'for', ""'"", ',', ""'"", 'covid19', ""'"", ',', ""'"", 'support', ""'"", ']']","pm modi speaks to russian prez putin, thanks him for covid-19 support",world,0.6808
"['[', ""'"", 'prez', ""'"", ',', ""'"", 'putin', ""'"", ',', ""'"", 'supported', ""'"", ',', ""'"", 'pm', ""'"", ',', ""'"", 'modi', ""'"", ',', ""'"", 'during', ""'"", ',', ""'"", 'this', ""'"", ',', ""'"", 'difficult', ""'"", ',', ""'"", 'period', ""'"", ',', ""'"", 'russia', ""'"", ',', ""'"", 'after', ""'"", ',', ""'"", 'call', ""'"", ']']",prez putin supported pm modi during this difficult period: russia after call,world,-0.1469
"['[', ""'"", 'my', ""'"", ',', ""'"", 'heart', ""'"", ',', ""'"", 'bleeds', ""'"", ',', ""'"", 'seeing', ""'"", ',', ""'"", 'people', ""'"", ',', ""'"", 'asking', ""'"", ',', ""'"", 'for', ""'"", ',', ""'"", 'hospital', ""'"", ',', ""'"", 'beds', ""'"", ',', ""'"", 'on', ""'"", ',', ""'"", 'social', ""'"", ',', ""'"", 'media', ""'"", ',', ""'"", 'german', ""'"", ',', ""'"", 'envoy', ""'"", ']']",my heart bleeds seeing people asking for hospital beds on social media: german envoy,world,0.6369
"['[', ""'"", 'saw', ""'"", ',', ""'"", 'harrowing', ""'"", ',', ""'"", 'pics', ""'"", ',', ""'"", 'from', ""'"", ',', ""'"", 'india', ""'"", ',', ""'"", 'it', ""'"", ',', ""'"", 'is', ""'"", ',', ""'"", 'a', ""'"", ',', ""'"", 'reminder', ""'"", ',', ""'"", 'that', ""'"", ',', ""'"", 'covid19', ""'"", ',', ""'"", 'is', ""'"", ',', ""'"", 'not', ""'"", ',', ""'"", 'over', ""'"", ',', ""'"", 'yet', ""'"", ',', ""'"", 'uk', ""'"", ']']",saw harrowing pics from india; it is a reminder that covid-19 isn't over yet: uk,world,0.0
"['[', ""'"", 'india', ""'"", ',', ""'"", 'declines', ""'"", ',', ""'"", 'uns', ""'"", ',', ""'"", 'assistance', ""'"", ',', ""'"", 'offer', ""'"", ',', ""'"", 'of', ""'"", ',', ""'"", 'integrated', ""'"", ',', ""'"", 'supply', ""'"", ',', ""'"", 'chain', ""'"", ',', ""'"", 'for', ""'"", ',', ""'"", 'covid19', ""'"", ',', ""'"", 'material', ""'"", ']']",india declines un's assistance offer of integrated supply chain for covid-19 material,world,0.0
"['[', ""'"", 'covid19', ""'"", ',', ""'"", 'cost', ""'"", ',', ""'"", 'women', ""'"", ',', ""'"", 'over', ""'"", ',', ""'"", '59', ""'"", ',', ""'"", 'lakh', ""'"", ',', ""'"", 'cr', ""'"", ',', ""'"", 'in', ""'"", ',', ""'"", 'lost', ""'"", ',', ""'"", 'income', ""'"", ',', ""'"", 'in', ""'"", ',', ""'"", '2020', ""'"", ',', ""'"", 'oxfam', ""'"", ']']",covid-19 cost women over ₹59 lakh cr in lost income in 2020: oxfam,world,-0.3182
"['[', ""'"", 'us', ""'"", ',', ""'"", 'to', ""'"", ',', ""'"", 'rush', ""'"", ',', ""'"", 'medical', ""'"", ',', ""'"", 'supplies', ""'"", ',', ""'"", 'worth', ""'"", ',', ""'"", 'over', ""'"", ',', ""'"", '100', ""'"", ',', ""'"", 'million', ""'"", ',', ""'"", 'to', ""'"", ',', ""'"", 'india', ""'"", ',', ""'"", 'amid', ""'"", ',', ""'"", 'covid19', ""'"", ',', ""'"", 'crisis', ""'"", ']']",us to rush medical supplies worth over $100 million to india amid covid-19 crisis,world,-0.4939
"['[', ""'"", 'canada', ""'"", ',', ""'"", 'pm', ""'"", ',', ""'"", 'says', ""'"", ',', ""'"", 'astrazeneca', ""'"", ',', ""'"", 'vaccine', ""'"", ',', ""'"", 'is', ""'"", ',', ""'"", 'safe', ""'"", ',', ""'"", 'amid', ""'"", ',', ""'"", 'blood', ""'"", ',', ""'"", 'clot', ""'"", ',', ""'"", 'fears', ""'"", ']']",canada pm says astrazeneca vaccine is safe amid blood clot fears,world,0.0258
"['[', ""'"", 'taiwan', ""'"", ',', ""'"", 'to', ""'"", ',', ""'"", 'send', ""'"", ',', ""'"", '150', ""'"", ',', ""'"", 'oxygen', ""'"", ',', ""'"", 'concentrators', ""'"", ',', ""'"", 'to', ""'"", ',', ""'"", 'india', ""'"", ',', ""'"", 'this', ""'"", ',', ""'"", 'weekend', ""'"", ']']",taiwan to send 150 oxygen concentrators to india this weekend,world,0.0
"['[', ""'"", '256', ""'"", ',', ""'"", 'oxygen', ""'"", ',', ""'"", 'concentrators', ""'"", ',', ""'"", 'reach', ""'"", ',', ""'"", 'mumbai', ""'"", ',', ""'"", 'airport', ""'"", ',', ""'"", 'from', ""'"", ',', ""'"", 'singapore', ""'"", ']']",256 oxygen concentrators reach mumbai airport from singapore,world,0.0258
"['[', ""'"", 'brazil', ""'"", ',', ""'"", 'begins', ""'"", ',', ""'"", 'to', ""'"", ',', ""'"", 'manufacture', ""'"", ',', ""'"", 'its', ""'"", ',', ""'"", 'own', ""'"", ',', ""'"", 'coronavirus', ""'"", ',', ""'"", 'vaccine', ""'"", ']']",brazil begins to manufacture its own coronavirus vaccine,world,0.0
"['[', ""'"", 'uk', ""'"", ',', ""'"", 'to', ""'"", ',', ""'"", 'send', ""'"", ',', ""'"", '3', ""'"", ',', ""'"", 'oxygen', ""'"", ',', ""'"", 'generation', ""'"", ',', ""'"", 'units', ""'"", ',', ""'"", 'to', ""'"", ',', ""'"", 'india', ""'"", ',', ""'"", 'amid', ""'"", ',', ""'"", 'oxygen', ""'"", ',', ""'"", 'crisis', ""'"", ']']",uk to send 3 oxygen generation units to india amid oxygen crisis ,world,-0.6249
"['[', ""'"", 'pizza', ""'"", ',', ""'"", 'hut', ""'"", ',', ""'"", 'kfc', ""'"", ',', ""'"", 'taco', ""'"", ',', ""'"", 'bell', ""'"", ',', ""'"", 'sales', ""'"", ',', ""'"", 'improve', ""'"", ',', ""'"", 'as', ""'"", ',', ""'"", 'covid19', ""'"", ',', ""'"", 'curbs', ""'"", ',', ""'"", 'ease', ""'"", ']']","pizza hut, kfc, taco bell sales improve as covid-19 curbs ease",world,0.6597
"['[', ""'"", 'russian', ""'"", ',', ""'"", 'authorities', ""'"", ',', ""'"", 'paint', ""'"", ',', ""'"", 'over', ""'"", ',', ""'"", 'large', ""'"", ',', ""'"", 'mural', ""'"", ',', ""'"", 'of', ""'"", ',', ""'"", 'putin', ""'"", ',', ""'"", 'critic', ""'"", ',', ""'"", 'navalny', ""'"", ']']",russian authorities paint over large mural of putin critic navalny,world,-0.2732
"['[', ""'"", 'ties', ""'"", ',', ""'"", 'with', ""'"", ',', ""'"", 'us', ""'"", ',', ""'"", 'worse', ""'"", ',', ""'"", 'than', ""'"", ',', ""'"", 'during', ""'"", ',', ""'"", 'cold', ""'"", ',', ""'"", 'war', ""'"", ',', ""'"", 'russian', ""'"", ',', ""'"", 'foreign', ""'"", ',', ""'"", 'min', ""'"", ']']",ties with us worse than during cold war: russian foreign min,world,-0.7906
"['[', ""'"", '114yearold', ""'"", ',', ""'"", 'nebraska', ""'"", ',', ""'"", 'woman', ""'"", ',', ""'"", 'becomes', ""'"", ',', ""'"", 'oldest', ""'"", ',', ""'"", 'living', ""'"", ',', ""'"", 'american', ""'"", ']']",114-year-old nebraska woman becomes oldest living american,world,0.0
"['[', ""'"", 'us', ""'"", ',', ""'"", 'investigators', ""'"", ',', ""'"", 'raid', ""'"", ',', ""'"", 'former', ""'"", ',', ""'"", 'trump', ""'"", ',', ""'"", 'lawyer', ""'"", ',', ""'"", 'giulianis', ""'"", ',', ""'"", 'apartment', ""'"", ']']",us investigators raid former trump lawyer giuliani's apartment,world,0.0
"['[', ""'"", '8', ""'"", ',', ""'"", 'people', ""'"", ',', ""'"", 'dead', ""'"", ',', ""'"", 'in', ""'"", ',', ""'"", 'building', ""'"", ',', ""'"", 'blaze', ""'"", ',', ""'"", 'in', ""'"", ',', ""'"", 'latvian', ""'"", ',', ""'"", 'capital', ""'"", ',', ""'"", 'riga', ""'"", ']']",8 people dead in building blaze in latvian capital riga,world,-0.6486
"['[', ""'"", 'huaweis', ""'"", ',', ""'"", 'sales', ""'"", ',', ""'"", 'drop', ""'"", ',', ""'"", 'steepens', ""'"", ',', ""'"", 'over', ""'"", ',', ""'"", 'us', ""'"", ',', ""'"", 'sanctions', ""'"", ']']",huawei’s sales drop steepens over us sanctions,world,-0.2732
"['[', ""'"", 'rajasthan', ""'"", ',', ""'"", 'cm', ""'"", ',', ""'"", 'ashok', ""'"", ',', ""'"", 'gehlot', ""'"", ',', ""'"", 'tests', ""'"", ',', ""'"", 'positive', ""'"", ',', ""'"", 'for', ""'"", ',', ""'"", 'covid19', ""'"", ']']",rajasthan cm ashok gehlot tests positive for covid-19,national,0.5574
"['[', ""'"", 'biggest', ""'"", ',', ""'"", 'oneday', ""'"", ',', ""'"", 'jump', ""'"", ',', ""'"", 'in', ""'"", ',', ""'"", 'covid19', ""'"", ',', ""'"", 'cases', ""'"", ',', ""'"", 'and', ""'"", ',', ""'"", 'deaths', ""'"", ',', ""'"", 'in', ""'"", ',', ""'"", 'west', ""'"", ',', ""'"", 'bengal', ""'"", ',', ""'"", 'amid', ""'"", ',', ""'"", 'polls', ""'"", ']']",biggest one-day jump in covid-19 cases and deaths in west bengal amid polls,national,0.0
"['[', ""'"", 'madhya', ""'"", ',', ""'"", 'pradesh', ""'"", ',', ""'"", 'government', ""'"", ',', ""'"", 'extends', ""'"", ',', ""'"", 'corona', ""'"", ',', ""'"", 'curfew', ""'"", ',', ""'"", 'till', ""'"", ',', ""'"", 'may', ""'"", ',', ""'"", '7', ""'"", ']']",madhya pradesh government extends 'corona curfew' till may 7,national,0.128
"['[', ""'"", 'facebook', ""'"", ',', ""'"", 'mistakenly', ""'"", ',', ""'"", 'hides', ""'"", ',', ""'"", 'resignmodi', ""'"", ',', ""'"", 'posts', ""'"", ',', ""'"", 'issues', ""'"", ',', ""'"", 'statement', ""'"", ']']",facebook 'mistakenly' hides #resignmodi posts; issues statement,national,-0.4404
"['[', ""'"", 'all', ""'"", ',', ""'"", 'govt', ""'"", ',', ""'"", 'mcgm', ""'"", ',', ""'"", 'vaccination', ""'"", ',', ""'"", 'centres', ""'"", ',', ""'"", 'to', ""'"", ',', ""'"", 'be', ""'"", ',', ""'"", 'functional', ""'"", ',', ""'"", 'today', ""'"", ',', ""'"", 'in', ""'"", ',', ""'"", 'mumbai', ""'"", ']']","all govt, mcgm vaccination centres to be functional today in mumbai",national,0.0
"['[', ""'"", 'over', ""'"", ',', ""'"", '132', ""'"", ',', ""'"", 'crore', ""'"", ',', ""'"", 'people', ""'"", ',', ""'"", 'apply', ""'"", ',', ""'"", 'on', ""'"", ',', ""'"", 'day', ""'"", ',', ""'"", '1', ""'"", ',', ""'"", 'of', ""'"", ',', ""'"", 'covid19', ""'"", ',', ""'"", 'vaccination', ""'"", ',', ""'"", 'registration', ""'"", ',', ""'"", 'for', ""'"", ',', ""'"", '18', ""'"", ']']",over 1.32 crore people apply on day 1 of covid-19 vaccination registration for 18+,national,0.0
"['[', ""'"", 'medical', ""'"", ',', ""'"", 'care', ""'"", ',', ""'"", 'severely', ""'"", ',', ""'"", 'limited', ""'"", ',', ""'"", 'us', ""'"", ',', ""'"", 'asks', ""'"", ',', ""'"", 'citizens', ""'"", ',', ""'"", 'wishing', ""'"", ',', ""'"", 'to', ""'"", ',', ""'"", 'depart', ""'"", ',', ""'"", 'to', ""'"", ',', ""'"", 'leave', ""'"", ',', ""'"", 'india', ""'"", ',', ""'"", 'now', ""'"", ']']",medical care severely limited: us asks citizens wishing to depart to leave india now,national,0.0
"['[', ""'"", 'india', ""'"", ',', ""'"", 'breaks', ""'"", ',', ""'"", 'records', ""'"", ',', ""'"", 'again', ""'"", ',', ""'"", 'reports', ""'"", ',', ""'"", 'nearly', ""'"", ',', ""'"", '38', ""'"", ',', ""'"", 'lakh', ""'"", ',', ""'"", 'covid19', ""'"", ',', ""'"", 'cases', ""'"", ',', ""'"", '3645', ""'"", ',', ""'"", 'deaths', ""'"", ']']","india breaks records again, reports nearly 3.8 lakh covid-19 cases, 3,645 deaths",national,0.0
"['[', ""'"", 'pm', ""'"", ',', ""'"", 'modi', ""'"", ',', ""'"", 'a', ""'"", ',', ""'"", 'superspreader', ""'"", ',', ""'"", 'of', ""'"", ',', ""'"", 'covid19', ""'"", ',', ""'"", 'who', ""'"", ',', ""'"", 'held', ""'"", ',', ""'"", 'big', ""'"", ',', ""'"", 'political', ""'"", ',', ""'"", 'rallies', ""'"", ',', ""'"", 'I', ""'"", ',', ""'"", 'am', ""'"", ',', ""'"", 'about', ""'"", ',', ""'"", 'to', ""'"", ',', ""'"", 'vp', ""'"", ']']",pm modi a 'super-spreader' of covid-19 who held big political rallies: ima vp,national,0.0
"['[', ""'"", 'dog', ""'"", ',', ""'"", 'crematorium', ""'"", ',', ""'"", 'site', ""'"", ',', ""'"", 'in', ""'"", ',', ""'"", 'delhi', ""'"", ',', ""'"", 'to', ""'"", ',', ""'"", 'be', ""'"", ',', ""'"", 'used', ""'"", ',', ""'"", 'for', ""'"", ',', ""'"", 'humans', ""'"", ',', ""'"", 'amid', ""'"", ',', ""'"", 'rise', ""'"", ',', ""'"", 'in', ""'"", ',', ""'"", 'covid19', ""'"", ',', ""'"", 'deaths', ""'"", ']']",dog crematorium site in delhi to be used for humans amid rise in covid-19 deaths,national,0.0
"['[', ""'"", '3000', ""'"", ',', ""'"", 'covid19', ""'"", ',', ""'"", 've', ""'"", ',', ""'"", 'people', ""'"", ',', ""'"", 'missing', ""'"", ',', ""'"", 'in', ""'"", ',', ""'"", 'bengaluru', ""'"", ',', ""'"", 'phones', ""'"", ',', ""'"", 'switched', ""'"", ',', ""'"", 'off', ""'"", ',', ""'"", 'minister', ""'"", ']']","3,000 covid-19 +ve people missing in bengaluru, phones switched off: minister",national,-0.296
"['[', ""'"", 'prez', ""'"", ',', ""'"", 'putin', ""'"", ',', ""'"", 'supported', ""'"", ',', ""'"", 'pm', ""'"", ',', ""'"", 'modi', ""'"", ',', ""'"", 'during', ""'"", ',', ""'"", 'this', ""'"", ',', ""'"", 'difficult', ""'"", ',', ""'"", 'period', ""'"", ',', ""'"", 'russia', ""'"", ',', ""'"", 'after', ""'"", ',', ""'"", 'call', ""'"", ']']",prez putin supported pm modi during this difficult period: russia after call,national,-0.1469
"['[', ""'"", 'saw', ""'"", ',', ""'"", 'harrowing', ""'"", ',', ""'"", 'pics', ""'"", ',', ""'"", 'from', ""'"", ',', ""'"", 'india', ""'"", ',', ""'"", 'it', ""'"", ',', ""'"", 'is', ""'"", ',', ""'"", 'a', ""'"", ',', ""'"", 'reminder', ""'"", ',', ""'"", 'that', ""'"", ',', ""'"", 'covid19', ""'"", ',', ""'"", 'is', ""'"", ',', ""'"", 'not', ""'"", ',', ""'"", 'over', ""'"", ',', ""'"", 'yet', ""'"", ',', ""'"", 'uk', ""'"", ']']",saw harrowing pics from india; it is a reminder that covid-19 isn't over yet: uk,national,0.0
"['[', ""'"", 'us', ""'"", ',', ""'"", 'to', ""'"", ',', ""'"", 'rush', ""'"", ',', ""'"", 'medical', ""'"", ',', ""'"", 'supplies', ""'"", ',', ""'"", 'worth', ""'"", ',', ""'"", 'over', ""'"", ',', ""'"", '100', ""'"", ',', ""'"", 'million', ""'"", ',', ""'"", 'to', ""'"", ',', ""'"", 'india', ""'"", ',', ""'"", 'amid', ""'"", ',', ""'"", 'covid19', ""'"", ',', ""'"", 'crisis', ""'"", ']']",us to rush medical supplies worth over $100 million to india amid covid-19 crisis,national,-0.4939
"['[', ""'"", 'mans', ""'"", ',', ""'"", 'oxygen', ""'"", ',', ""'"", 'concentrator', ""'"", ',', ""'"", 'for', ""'"", ',', ""'"", 'father', ""'"", ',', ""'"", 'goes', ""'"", ',', ""'"", 'missing', ""'"", ',', ""'"", 'from', ""'"", ',', ""'"", 'flight', ""'"", ',', ""'"", 'found', ""'"", ',', ""'"", 'with', ""'"", ',', ""'"", 'ipl', ""'"", ',', ""'"", 'team', ""'"", ']']","man's oxygen concentrator for father goes missing from flight, found with ipl team",national,-0.296
"['[', ""'"", 'i', ""'"", ',', ""'"", 'am', ""'"", ',', ""'"", 'not', ""'"", ',', ""'"", 'fully', ""'"", ',', ""'"", 'woke', ""'"", ',', ""'"", 'about', ""'"", ',', ""'"", 'samesex', ""'"", ',', ""'"", 'relationships', ""'"", ',', ""'"", 'will', ""'"", ',', ""'"", 'talk', ""'"", ',', ""'"", 'to', ""'"", ',', ""'"", 'psychologist', ""'"", ',', ""'"", 'hc', ""'"", ',', ""'"", 'judge', ""'"", ']']","i am not fully woke about same-sex relationships, will talk to psychologist: hc judge",national,0.0
"['[', ""'"", '19', ""'"", ',', ""'"", 'earthquakes', ""'"", ',', ""'"", 'hit', ""'"", ',', ""'"", 'assam', ""'"", ',', ""'"", 'within', ""'"", ',', ""'"", '24', ""'"", ',', ""'"", 'hours', ""'"", ',', ""'"", 'including', ""'"", ',', ""'"", 'strongest', ""'"", ',', ""'"", 'in', ""'"", ',', ""'"", '60', ""'"", ',', ""'"", 'years', ""'"", ']']",19 earthquakes hit assam within 24 hours including strongest in 60 years,national,0.4404
"['[', ""'"", 'heartbreaking', ""'"", ',', ""'"", 'to', ""'"", ',', ""'"", 'see', ""'"", ',', ""'"", 'agony', ""'"", ',', ""'"", 'people', ""'"", ',', ""'"", 'are', ""'"", ',', ""'"", 'facing', ""'"", ',', ""'"", 'madhuri', ""'"", ',', ""'"", 'amid', ""'"", ',', ""'"", 'covid19', ""'"", ']']",heartbreaking to see agony people are facing: madhuri amid covid-19,national,-0.7003
